bankruptid;startdate
100015;2016-03-21
100019;2016-03-21
100113;2016-03-22
100184;2016-03-22
100221;2016-03-23
100274;2016-03-23
100275;2016-03-23
100300;2016-03-24
100313;2016-03-24
100320;2016-03-24
100356;2016-03-24
100386;2016-03-24
100622;2016-03-28
100653;2016-03-28
100689;2016-03-29
100705;2016-03-28
100910;2016-03-30
100943;2016-03-30
100967;2016-03-30
101012;2016-03-31
101156;2016-04-01
101157;2016-04-01
101169;2016-04-01
101201;2016-04-01
101391;2016-04-04
101410;2016-04-04
101446;2016-04-04
101509;2016-04-05
101543;2016-04-05
101683;2016-04-06
101705;2016-04-06
101711;2016-04-06
101762;2016-04-07
101776;2016-07-29
101798;2016-04-07
101843;2016-04-07
101844;2016-04-07
101852;2016-04-07
101918;2016-04-08
101936;2016-04-08
101947;2016-04-08
101995;2016-04-09
102014;2016-04-10
102067;2016-04-11
102092;2016-04-11
102118;2016-04-11
102227;2016-04-12
102261;2016-04-12
102278;2016-04-12
102288;2016-04-12
102291;2016-04-12
102393;2016-04-13
102435;2016-04-13
102444;2016-04-13
102446;2016-04-13
102449;2016-04-13
102450;2016-04-13
102486;2016-04-14
102494;2016-04-14
102561;2016-04-14
102620;2016-04-15
102645;2016-04-15
102743;2016-04-16
102747;2016-04-16
102816;2016-04-18
102821;2016-04-18
102827;2016-04-18
102850;2016-04-18
102854;2016-04-18
102886;2016-04-18
102898;2016-04-18
102916;2016-04-18
102919;2016-04-18
102960;2016-04-19
102966;2016-04-19
103001;2016-04-19
103040;2016-04-19
103058;2016-04-19
103140;2016-04-20
103230;2016-04-21
103282;2016-04-21
103289;2016-04-21
103291;2016-04-21
103359;2016-04-22
103373;2016-04-22
103469;2016-04-22
103475;2016-04-22
103594;2016-04-25
103597;2016-04-25
103634;2016-04-25
103666;2016-04-25
10367;2019-03-01
103706;2016-04-25
103753;2016-04-26
103828;2016-04-26
103941;2016-04-27
104023;2016-04-28
104036;2016-04-28
104047;2016-04-28
104081;2016-04-28
104109;2016-04-28
104125;2016-04-28
104148;2016-04-28
104207;2016-04-29
104253;2016-04-29
104256;2016-04-29
104306;2016-04-29
104314;2016-04-29
104421;2016-05-04
104469;2016-05-04
104536;2016-05-04
104541;2018-01-31
104543;2016-05-05
104571;2016-05-05
104578;2016-05-05
104642;2016-05-05
104649;2016-05-05
104666;2016-05-06
104766;2016-05-06
104767;2016-05-06
104794;2016-05-06
104807;2016-05-07
104826;2016-05-08
104852;2016-05-10
104925;2016-05-10
104975;2016-05-10
105095;2016-05-11
105119;2016-05-12
105213;2016-05-12
105218;2016-05-12
105230;2016-05-12
105321;2016-05-13
105348;2016-05-13
105350;2016-05-13
105364;2016-05-13
105389;2016-05-14
105408;2016-05-15
105420;2016-05-15
105494;2016-05-16
105546;2016-05-16
105594;2016-05-16
105617;2016-05-17
105670;2016-05-17
105736;2016-05-17
105781;2016-05-18
105865;2016-05-18
105872;2016-05-18
106037;2016-05-20
106056;2016-05-20
106060;2016-05-20
106106;2016-05-20
106142;2016-05-21
106147;2016-05-21
106154;2016-05-21
106170;2016-05-21
106268;2016-05-23
106281;2016-05-23
106450;2016-05-24
106484;2016-05-24
106516;2016-05-24
106565;2016-05-25
106630;2016-05-25
106656;2016-05-25
106683;2016-05-26
106721;2016-05-26
106725;2016-05-26
106750;2016-05-26
106757;2016-05-26
106780;2016-05-26
106800;2016-05-26
106817;2016-05-26
106832;2016-05-27
106912;2016-05-27
106931;2016-05-27
106963;2016-05-27
107064;2016-05-30
107071;2016-05-30
107076;2016-05-30
107094;2016-05-30
107149;2016-05-30
107284;2016-05-31
107301;2016-05-31
107329;2016-05-31
107407;2016-06-01
107434;2016-06-01
107446;2016-06-01
107450;2016-06-01
107466;2016-06-01
107468;2016-06-01
107480;2016-06-01
107631;2016-06-02
107688;2016-06-03
107736;2016-06-03
107744;2016-06-03
107748;2016-06-03
107767;2016-06-03
107773;2016-06-03
107776;2016-06-03
107790;2016-06-04
107815;2016-06-04
107818;2016-06-04
107822;2016-06-04
107899;2016-06-06
107929;2016-06-06
107947;2016-06-06
107948;2016-06-06
107988;2016-06-06
108011;2016-06-06
108018;2016-06-06
108037;2016-06-06
108047;2016-06-06
108139;2016-06-07
108146;2016-06-07
108210;2016-06-08
108212;2016-06-08
108233;2016-06-08
108274;2016-06-08
108310;2016-06-08
108311;2016-06-08
108312;2016-06-08
108316;2016-06-08
108369;2016-06-09
108538;2016-06-10
108562;2016-12-16
108586;2016-06-10
108623;2016-06-10
108801;2016-06-14
108842;2016-06-14
108883;2016-06-14
108903;2016-06-14
108914;2016-06-14
108939;2016-06-14
108949;2016-06-14
108953;2016-06-14
108956;2016-06-14
108979;2016-06-14
109094;2016-06-15
109116;2016-06-16
109191;2016-06-16
109209;2016-06-16
109259;2016-06-17
109313;2016-06-17
109322;2016-06-17
109349;2016-06-17
109393;2016-06-18
109399;2016-06-19
109437;2016-06-20
109611;2016-06-20
109656;2016-06-21
109680;2016-06-21
109684;2016-06-21
109698;2016-06-21
109716;2016-06-21
109752;2016-06-21
109906;2016-09-03
109924;2016-06-23
109937;2016-06-23
109948;2016-06-23
109988;2016-06-23
109995;2016-06-23
110026;2016-06-23
110029;2016-06-24
110070;2016-06-23
110188;2016-06-24
110204;2016-06-24
110233;2016-06-25
110266;2016-06-26
110343;2016-06-27
110609;2016-06-28
110636;2016-06-28
110668;2016-06-28
110672;2016-06-28
110725;2016-06-29
110742;2016-06-29
110746;2016-06-29
110795;2016-06-29
110811;2016-06-29
110899;2016-06-30
110950;2016-06-30
110970;2016-06-30
111024;2016-07-01
111034;2016-07-01
111050;2019-09-05
111068;2016-07-01
111110;2016-07-01
111135;2016-07-02
111137;2016-07-02
111140;2016-07-02
111291;2016-07-04
111376;2016-07-04
111439;2016-07-05
111476;2016-07-05
111482;2016-07-05
111486;2016-07-05
111536;2016-07-06
111583;2016-07-06
111598;2016-07-06
111615;2016-07-06
111631;2016-07-06
111650;2016-07-06
111656;2016-07-06
111657;2016-07-06
111706;2016-07-07
111736;2016-07-07
111756;2016-07-07
111771;2016-07-07
111829;2016-07-08
111859;2016-07-08
111892;2016-07-08
111965;2016-07-09
112022;2016-07-11
112030;2016-07-11
112043;2016-07-11
112059;2016-07-11
112136;2016-07-11
112191;2016-07-12
112239;2016-07-12
112255;2016-07-12
112256;2016-07-12
112272;2016-07-12
112302;2016-07-12
112338;2016-07-13
112377;2016-07-13
112448;2016-07-14
112461;2016-07-14
112464;2016-07-14
112480;2016-07-14
112518;2016-07-14
112533;2016-07-14
112578;2016-07-15
112619;2016-07-15
112644;2016-07-15
112832;2016-07-18
112874;2016-07-18
112879;2016-07-18
112902;2016-07-18
112993;2016-07-19
113045;2016-07-20
113053;2016-07-20
113055;2016-07-20
113067;2016-07-20
113078;2016-07-20
113098;2016-07-20
113099;2016-07-20
113106;2016-07-20
113227;2019-07-08
113232;2016-07-21
113242;2016-07-26
113271;2016-07-22
113305;2016-07-22
113308;2016-07-22
113381;2016-07-22
113383;2016-07-22
113421;2016-07-24
113452;2016-07-25
113460;2016-07-25
113499;2016-07-25
113520;2016-07-25
113556;2016-07-25
113565;2016-07-25
113571;2016-11-03
113625;2016-07-26
113786;2016-07-27
113814;2016-07-27
113820;2016-12-02
113829;2016-07-28
113835;2016-07-28
113836;2016-07-28
113838;2016-07-28
113935;2016-07-28
113959;2016-07-29
113960;2016-07-29
113968;2016-07-29
113980;2016-07-29
114013;2017-06-06
114028;2016-07-29
114037;2016-07-29
114096;2016-07-30
114216;2016-08-01
114230;2016-08-01
114255;2016-08-01
114269;2016-08-01
114271;2016-08-01
114275;2016-08-01
114313;2016-08-02
114331;2017-02-03
114347;2016-08-02
114353;2016-08-02
114365;2016-08-02
114374;2016-08-02
114395;2016-08-02
114402;2016-08-02
114424;2016-08-03
114512;2016-08-03
114528;2016-08-03
114545;2016-08-03
114580;2016-08-04
114582;2016-08-04
114585;2016-08-04
114594;2016-08-04
114605;2016-08-04
114633;2016-08-04
114656;2016-08-04
114695;2016-08-05
114717;2016-08-05
114860;2016-08-08
114876;2016-08-08
114970;2016-08-08
114989;2016-08-08
115046;2016-08-09
115126;2016-08-09
115129;2016-08-09
115205;2016-08-10
115213;2016-08-10
115274;2016-08-10
115308;2016-08-11
115371;2016-08-11
115375;2016-08-11
115383;2016-08-11
115394;2016-08-11
115525;2017-02-11
115540;2016-08-14
115558;2016-08-14
115605;2016-08-15
115714;2016-08-15
115725;2016-08-16
115758;2016-08-16
115777;2017-07-26
115799;2016-08-17
115855;2016-08-17
115865;2016-08-17
115932;2016-08-17
115940;2016-08-17
115953;2016-08-17
116039;2016-08-18
116067;2016-08-18
116133;2016-08-19
